codice,nome,glassatura,prezzo,note
,Insalata di mare,0.2,24.38,PLU non visibile
36,Polpa di cozze cilene scottata ASC,0.1,12.11,
,Filetto di scorfano atlantico con pelle,0.28,22.08,PLU non visibile
155,Fettuccine di seppia oceanica crude,0.25,22.53,
179,Vongola dell’Adriatico scottata,0.1,14.33,
29,Cappasanta atlantica 1/2 guscio,0.25,27.87,
793,Trance di pesce spada irregolari,0.2,18.63,
347,Misto per primi piatti,0.2,18.13,
84,Code di mazzancolla tropicale crude e sgusciate devenate grandi,0.25,29.6,
181,Bastoncini di surimi al sapore di granchio,0.05,9.37,
22,Anelli di calamaro oceanico scottati,0.2,16.13,
21,Ciuffi di calamaro oceanico scottati,0.2,18.63,
260,Code di mazzancolla tropicale scottate e sgusciate grandi,0.2,28.63,
821,Filetto di aringa MSC,0.2,8.69,
124,Polpo indopacifico fiore piccolo,0.1,14.33,
25,Cannolicchio atlantico,0.1,10.67,
33,Cozze cilene scottate guscio intero ASC,0.1,7.22,
176,Vongola del Pacifico con guscio cotte,0.1,8.78,
178,Vongola verace scottata,0.1,27.67,
97,Ventresca di merluzzo nordico leggermente salata con pelle MSC,0.1,16.56,
,Porzioni di halibut senza pelle,0.3,26.43,PLU non visibile
,Porzioni di tonno a pinne gialle senza pelle,0.2,23.13,PLU non visibile
160,Sogliola eviscerata,0.35,26.0,
15,Gambero argentino grande,0.15,23.41,
30,Polpa di cappasanta atlantica,0.25,42.0,
11,Branzino eviscerato piccolo,0.2,16.88,
622,Misto mare,0.2,14.88,
148,Code di scampi,0.3,32.5,
407,Broccoli a rosette,0.05,4.11,
13,Filetto di branzino con pelle,0.25,30.53,
104,Filetto di orata con pelle,0.25,30.53,
105,Orata eviscerata piccola,0.2,16.88,
26,Polpo oceanico tagliato scottato,0.1,33.22,
546,Contorno di verdure tre colori,0.05,4.79,
143,Filetto di pesce San Pietro con pelle,0.3,28.43,
49,Code di gambero argentino crude grandi,0.2,29.88,
345,Pentolaccia,0.15,21.06,
58,Code di gambero indopacifico crude e sgusciate medie,0.25,27.87,
57,Code di gambero indopacifico crude e sgusciate piccole,0.25,17.2,
78,Latterino,0.1,6.56,
,Seppia indopacifica pulita piccola,0.2,19.88,PLU non visibile
227,Seppia oceanica pulita piccola,0.2,13.63,
409,Carciofi a spicchi di origine italiana,0.05,9.42,
267,Code di mazzancolla tropicale crude,0.25,26.53,
25133,Filetto di trota iridea salmonata con pelle ASC,0.08,21.63,
222,Polpo indopacifico pulito piccolo,0.2,16.13,
174,Trance di verdesca,0.2,10.63,
336,Misto scoglio,0.2,19.88,
121,Filetto di platessa senza pelle dei mari del Nord MSC,0.25,26.53,
136,Rombo chiodato eviscerato,0.28,27.64,
117,Trance di pesce spada,0.2,24.88,
6123,Vongole del Pacifico sgusciata precotta,0.2,15.63,
154,Seppia pulita grande,0.1,19.89,
6,Alici dell’Adriatico,0.05,9.37,
146,Filetto di sardina,0.1,9.67,
153,Seppia pulita media,0.1,18.78,
53,Filetto di branzino con pelle allevato in Italia,0.1,37.67,
54,Filetto di orata con pelle allevato in Italia,0.1,36.56,
963,Fasolaro con guscio,0.1,24.33,
275,Polpa di vongola del Mediterraneo scottata,0.1,16.56,
230,Calamaro oceanico tagliato e pulito,0.2,14.88,
141,Trance di salmone con pelle,0.3,24.14,
106,Orata eviscerata grande,0.1,22.11,
12,Branzino eviscerato grande,0.1,22.11,
111,Filetto di pangasio senza pelle,0.2,9.38,
157,Filetto di sgombro con pelle,0.28,22.08,
119,Filetto di merluzzo carbonaro leggermente salato MSC,0.1,16.56,
348,Misto per risotto alla pescatora,0.2,16.88,
109,Porzioni di filetto di salmone senza pelle,0.1,34.33,
24,Canestrello 1/2 guscio,0.2,36.13,
609,Pannocchia,0.1,15.44,
390,Infarina e friggi senza gusci,0.25,23.87,
784,Porzioni di baccalà dissalato,0.1,25.44,
244,Calamaro indopacifico sporco,0.2,16.88,
283,Filetto di nasello atlantico senza pelle cong. a bordo,0.1,11.0,
223,Nasello atlantico decapitato cong. a bordo ed eviscerato,0.1,8.33,
890,Ritagli di salmone senza pelle,0.1,23.89,
172,Triglia atlantica,0.15,8.0,
115,Filetto di persico africano senza pelle,0.15,19.88,
42,Code di gamberone indopacifico scottate medie,0.2,16.13,
170,Anelli di totano atlantico,0.45,19.82,
193,Misto scoglio senza gusci,0.2,21.13,
110,Pentolaccia senza gusci,0.2,23.63,
34,Cozze cilene 1/2 guscio scottate ASC,0.1,12.11,
325,Fantasia di mare,0.15,18.71,
19,Calamaro oceanico pulito grande,0.2,23.63,
17,Calamaro oceanico pulito piccolo,0.2,19.88,
